Cycle_ID	Step_ID	Step_Type	Step_Time	Cap	CmpCap	Energy	CmpEng	Capacitance_Chg	Start_Vol	End_Vol	Start_Temperature	End_Temperature
28	55	CCCV_Chg	0.13	230.27	230274.07	872.25	872253.38	230.3	3047.8	4297.1	0.0	0.0	
28	56	CC_DChg	0.12	230.09	230089.19	856.10	856102.25	230.1	4285.7	2999.7	0.0	0.0	
29	57	CCCV_Chg	0.13	230.20	230198.98	872.01	872008.32	230.2	3041.9	4297.1	0.0	0.0	
29	58	CC_DChg	0.12	230.04	230042.29	855.95	855954.10	230.0	4285.0	2999.4	0.0	0.0	
30	59	CCCV_Chg	0.13	230.11	230105.22	871.65	871649.87	230.1	3047.4	4297.1	0.0	0.0	
30	60	CC_DChg	0.12	229.96	229957.62	855.61	855612.57	230.0	4284.7	2999.1	0.0	0.0	
31	61	CCCV_Chg	0.13	230.07	230067.13	871.51	871512.82	230.1	3046.2	4297.1	0.0	0.0	
31	62	CC_DChg	0.12	228.87	228870.79	851.38	851378.06	228.9	4284.7	2999.4	0.0	0.0	
32	63	CCCV_Chg	0.13	229.97	229974.16	871.17	871172.23	230.0	3040.6	4297.1	0.0	0.0	
32	64	CC_DChg	0.12	229.81	229806.59	855.10	855096.78	229.8	4284.7	2999.7	0.0	0.0	
33	65	CCCV_Chg	0.13	229.92	229921.16	871.01	871009.24	229.9	3041.6	4297.1	0.0	0.0	
33	66	CC_DChg	0.12	229.77	229766.70	854.94	854942.58	229.8	4284.7	2999.4	0.0	0.0	
34	67	CCCV_Chg	0.13	229.87	229873.78	870.84	870838.12	229.9	3046.2	4297.1	0.0	0.0	
34	68	CC_DChg	0.12	229.75	229749.33	854.89	854891.33	229.7	4284.7	2998.2	0.0	0.0	
35	69	CCCV_Chg	0.13	229.83	229828.71	870.65	870652.23	229.8	3044.3	4297.1	0.0	0.0	
35	70	CC_DChg	0.12	229.66	229657.17	854.57	854571.04	229.7	4285.0	2999.4	0.0	0.0	
36	71	CCCV_Chg	0.13	229.74	229736.68	870.32	870317.83	229.7	3039.4	4297.1	0.0	0.0	
36	72	CC_DChg	0.12	229.60	229595.62	854.33	854334.34	229.6	4284.7	2999.1	0.0	0.0	
37	73	CCCV_Chg	0.13	229.67	229673.18	870.10	870097.36	229.7	3039.4	4297.1	0.0	0.0	
37	74	CC_DChg	0.12	229.53	229528.41	854.10	854095.30	229.5	4284.7	2998.2	0.0	0.0	
38	75	CCCV_Chg	0.13	229.60	229599.87	869.82	869824.79	229.6	3043.7	4297.1	0.0	0.0	
38	76	CC_DChg	0.12	229.24	229244.58	853.10	853103.97	229.2	4284.7	2999.7	0.0	0.0	
39	77	CCCV_Chg	0.13	229.52	229523.89	869.57	869570.47	229.5	3040.3	4297.1	0.0	0.0	
39	78	CC_DChg	0.12	229.27	229265.39	853.14	853143.43	229.3	4285.4	2999.4	0.0	0.0	
40	79	CCCV_Chg	0.13	229.49	229488.40	869.45	869448.22	229.5	3045.0	4297.1	0.0	0.0	
40	80	CC_DChg	0.12	229.36	229357.90	853.48	853476.73	229.4	4284.7	2999.4	0.0	0.0	
41	81	CCCV_Chg	0.13	229.41	229414.17	869.18	869175.05	229.4	3044.0	4297.1	0.0	0.0	
41	82	CC_DChg	0.12	229.29	229291.78	853.24	853237.51	229.3	4284.7	2999.7	0.0	0.0	
42	83	CCCV_Chg	0.13	229.36	229357.45	868.98	868977.29	229.4	3044.0	4297.1	0.0	0.0	
42	84	CC_DChg	0.12	229.22	229224.70	853.01	853007.11	229.2	4285.7	2999.7	0.0	0.0	
43	85	CCCV_Chg	0.12	229.28	229284.69	868.70	868698.30	229.3	3044.0	4297.1	0.0	0.0	
43	86	CC_DChg	0.12	229.14	229138.81	852.68	852681.10	229.1	4284.7	2999.7	0.0	0.0	
44	87	CCCV_Chg	0.13	229.26	229260.58	868.63	868626.27	229.3	3044.0	4297.1	0.0	0.0	
44	88	CC_DChg	0.12	229.12	229115.56	852.61	852610.53	229.1	4284.7	2999.4	0.0	0.0	
45	89	CCCV_Chg	0.12	229.17	229165.99	868.29	868287.94	229.2	3038.5	4297.1	0.0	0.0	
45	90	CC_DChg	0.12	229.05	229048.89	852.36	852360.81	229.0	4284.7	2999.7	0.0	0.0	
46	91	CCCV_Chg	0.12	229.14	229137.52	868.19	868189.20	229.1	3043.1	4297.1	0.0	0.0	
46	92	CC_DChg	0.12	229.03	229027.83	852.29	852285.29	229.0	4284.7	2999.1	0.0	0.0	
47	93	CCCV_Chg	0.12	229.07	229069.92	867.93	867931.45	229.1	3042.5	4297.1	0.0	0.0	
47	94	CC_DChg	0.12	228.96	228960.28	852.05	852053.75	229.0	4285.4	2999.7	0.0	0.0	
48	95	CCCV_Chg	0.12	228.99	228992.67	867.66	867657.54	229.0	3037.8	4297.1	0.0	0.0	
48	96	CC_DChg	0.12	228.88	228877.95	851.76	851757.33	228.9	4285.4	2999.7	0.0	0.0	
49	97	CCCV_Chg	0.12	228.94	228941.07	867.46	867458.45	228.9	3037.8	4297.1	0.0	0.0	
49	98	CC_DChg	0.12	228.81	228814.44	851.52	851522.42	228.8	4284.7	2999.7	0.0	0.0	
50	99	CCCV_Chg	0.12	228.89	228889.84	867.29	867285.12	228.9	3037.5	4297.1	0.0	0.0	
50	100	CC_DChg	0.12	228.77	228769.61	851.36	851362.06	228.8	4284.7	2999.1	0.0	0.0	
51	101	CCCV_Chg	0.12	228.83	228832.45	867.08	867082.96	228.8	3037.5	4297.1	0.0	0.0	
51	102	CC_DChg	0.12	228.44	228438.15	850.14	850142.51	228.4	4284.7	2998.2	0.0	0.0	
52	103	CCCV_Chg	0.12	228.78	228781.99	866.88	866884.51	228.8	3041.6	4297.1	0.0	0.0	
52	104	CC_DChg	0.12	228.64	228635.13	850.87	850870.45	228.6	4284.7	2999.7	0.0	0.0	
53	105	CCCV_Chg	0.12	227.88	227881.72	863.58	863576.98	227.9	3042.8	4297.1	0.0	0.0	
53	106	CC_DChg	0.12	228.61	228609.60	850.78	850776.25	228.6	4284.7	2999.4	0.0	0.0	
54	107	CCCV_Chg	0.00	0.00	3.26	0.01	9.86	0.0	3020.5	3020.5	0.0	0.0	
54	108	CC_DChg	0.01	1.65	1653.55	5.00	5001.52	1.7	3019.5	2999.7	0.0	0.0	
55	109	CCCV_Chg	0.13	230.28	230280.90	871.96	871964.82	230.3	3024.2	4297.1	0.0	0.0	
55	110	CC_DChg	0.12	228.57	228569.49	850.64	850638.99	228.6	4285.4	2999.1	0.0	0.0	
56	111	CCCV_Chg	0.12	228.80	228797.04	866.95	866952.14	228.8	3041.9	4297.1	0.0	0.0	
56	112	CC_DChg	0.12	227.92	227919.40	848.24	848241.76	227.9	4284.7	2999.7	0.0	0.0	
57	113	CCCV_Chg	0.12	228.65	228650.98	866.42	866422.42	228.7	3042.2	4297.1	0.0	0.0	
57	114	CC_DChg	0.12	228.51	228507.73	850.41	850407.63	228.5	4284.7	2999.4	0.0	0.0	
58	115	CCCV_Chg	0.12	228.59	228585.07	866.20	866204.39	228.6	3037.2	4297.1	0.0	0.0	
58	116	CC_DChg	0.12	228.45	228446.83	850.19	850185.91	228.4	4285.4	2999.1	0.0	0.0	
59	117	CCCV_Chg	0.12	228.51	228513.96	865.94	865939.13	228.5	3037.2	4297.1	0.0	0.0	
59	118	CC_DChg	0.12	228.38	228382.19	849.94	849939.87	228.4	4284.7	2999.4	0.0	0.0	
60	119	CCCV_Chg	0.12	228.43	228427.16	865.64	865635.30	228.4	3037.2	4297.1	0.0	0.0	
60	120	CC_DChg	0.12	228.32	228317.12	849.71	849707.00	228.3	4284.7	2999.1	0.0	0.0	
61	121	CCCV_Chg	0.12	228.38	228384.78	865.47	865465.86	228.4	3036.9	4297.1	0.0	0.0	
61	122	CC_DChg	0.12	228.27	228274.34	849.56	849556.47	228.3	4285.4	2998.8	0.0	0.0	
62	123	CCCV_Chg	0.12	228.33	228334.03	865.29	865293.11	228.3	3036.6	4297.1	0.0	0.0	
62	124	CC_DChg	0.12	228.21	228210.19	849.32	849323.61	228.2	4285.4	2998.8	0.0	0.0	
63	125	CCCV_Chg	0.12	228.26	228262.89	865.03	865028.54	228.3	3036.6	4297.1	0.0	0.0	
63	126	CC_DChg	0.12	228.15	228145.56	849.08	849076.34	228.1	4285.4	2999.4	0.0	0.0	
